City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mataura,NZ,-46.1927,168.8643,57.99,61,26,5.99,scattered clouds
80,Mount Gambier,AU,-37.8333,140.7667,80.6,34,0,8.05,clear sky
81,Barinas,VE,8.6226,-70.2075,78.89,56,100,2.21,overcast clouds
82,Ribeira Grande,PT,38.5167,-28.7,58.23,83,100,15.77,overcast clouds
83,Thompson,CA,55.7435,-97.8558,1.4,78,90,13.8,snow
84,Kaeo,NZ,-35.1,173.7833,73.99,76,1,3.0,clear sky
85,Port Hedland,AU,-20.3167,118.5667,91.4,66,5,14.97,clear sky
86,Katherine,AU,-14.4667,132.2667,91.4,55,75,4.61,broken clouds
87,Villa Carlos Paz,AR,-31.4241,-64.4978,68.0,77,0,9.22,clear sky
88,Blackwater,AU,-23.5833,148.8833,87.51,45,92,9.1,overcast clouds
89,Tungor,RU,53.3808,142.9564,24.03,96,100,11.68,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,0,5.75,clear sky
91,Chokurdakh,RU,70.6333,147.9167,-10.59,88,97,10.51,overcast clouds
92,Hamilton,US,39.1834,-84.5333,62.01,41,20,11.5,few clouds
93,Zhezkazgan,KZ,47.8043,67.7144,25.07,97,100,23.67,light snow
94,Airai,TL,-8.9266,125.4092,69.3,100,78,0.65,broken clouds
95,Miro Khan,PK,27.7599,68.0921,73.4,64,0,9.22,haze
96,Dillon,US,34.4166,-79.3712,52.0,50,1,3.44,clear sky
97,Medicine Hat,CA,50.0501,-110.6683,24.01,68,90,11.5,light snow
98,Balashov,RU,51.5502,43.1667,-9.58,90,0,5.77,clear sky
99,Kruisfontein,ZA,-34.0033,24.7314,63.0,93,100,1.99,light rain
100,Husavik,IS,66.0449,-17.3389,30.2,93,90,21.85,snow
101,Ust-Koksa,RU,50.2696,85.6108,33.82,90,83,2.28,snow
102,Aquitania,CO,5.5197,-72.8875,48.16,99,94,0.38,overcast clouds
103,Morondava,MG,-20.2833,44.2833,76.28,73,0,4.0,clear sky
104,Riyadh,SA,24.6877,46.7219,66.2,16,40,6.91,scattered clouds
105,Vaini,TO,-21.2,-175.2,82.4,65,20,8.05,few clouds
