City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Maragogi,BR,77.05,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
219,Nacala,MZ,77.5,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
222,Moron,AR,75.99,scattered clouds,-34.6534,-58.6198,Hotel Morón
224,Kochi,IN,86.0,haze,9.9399,76.2602,Hotel Abad
225,Marsh Harbour,BS,70.39,broken clouds,26.5412,-77.0636,Abaco Beach Resort
230,Frontera,MX,72.01,scattered clouds,26.9333,-101.45,Casagrande Hotel
232,Sao Joao Da Barra,BR,73.26,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
233,Don Sak,TH,95.0,few clouds,9.3168,99.6918,Sea Sun Moon Hostel
235,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
236,Kavaratti,IN,83.21,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
237,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
243,Agua Dulce,MX,72.36,clear sky,18.1333,-94.1333,Hotel Victoria
244,Ocos,GT,78.8,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
246,Male,MV,84.2,broken clouds,4.1748,73.5089,Hotel Octave Maldives
248,Meulaboh,ID,88.03,few clouds,4.1363,96.1285,Kost Pria
249,Nago,JP,77.0,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
256,Paijan,PE,74.61,few clouds,-7.7333,-79.3022,ALQUILO CUARTOS
258,Ratnagiri,IN,87.53,clear sky,16.9833,73.3,Hotel Landmark
261,Mogadishu,SO,78.8,broken clouds,2.0371,45.3438,Olympic Hotel
267,Batemans Bay,AU,79.0,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
271,Ixtapa,MX,71.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
272,Buala,SB,82.98,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
278,San Luis,AR,74.73,overcast clouds,-33.295,-66.3356,Huarpes Hotel
283,Yangjiang,CN,79.0,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
286,Hobyo,SO,81.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
